ID	Coyote	Fox	Site	Block	Year	WolfPresent	EdgeDistance	Zone	Coyote:FoxRatio	Fox:CoyoteRatio	CoyotePrice	FoxPrice
33	7	3	Manitoba	Skownan	1996	Wolf	49.33	Transition	2.70	0.37	37	25
34	2261	1624	Manitoba	SouthernZone	1996	NoWolf	na	NoWolf	3.92	0.25	37	25
35	0	29	Manitoba	SplitLake	1996	Wolf	367.34	Wolf	0.01	86.00	37	25
36	0	9	Manitoba	ThicketPortage	1996	Wolf	178.82	Wolf	0.11	9.27	37	25
37	4	4	Manitoba	TurtleMountain	1996	NoWolf	166.72	NoWolf	4.98	0.20	37	25
38	1	10	Manitoba	Wabowden	1996	Wolf	132.22	Wolf	0.03	30.17	37	25
39	9	4	Manitoba	Watheren	1996	Wolf	5.60	Transition	3.03	0.33	37	25
40	3	56	Manitoba	Whiteshell	1996	Wolf	74.95	Transition	0.09	10.82	37	25
41	0	1	Manitoba	Bloodvein	1997	Wolf	31.90	Transition	0.31	3.18	36	21
42	8	37	Manitoba	Bonnet	1997	Wolf	51.90	Transition	0.28	3.54	36	21
43	0	6	Manitoba	BreensRiver	1997	Wolf	40.32	Transition	0.58	1.72	36	21
44	0	37	Manitoba	Brochet	1997	Wolf	506.95	Wolf	0.01	199.50	36	21
45	5	4	Manitoba	Bullhead	1997	NoWolf	18.68	NoWolf	0.51	1.95	36	21
46	2	13	Manitoba	Camperduck	1997	Wolf	55.99	Transition	1.46	0.69	36	21
47	0	64	Manitoba	Churchill	1997	Wolf	538.98	Wolf	0.00	517.00	36	21
48	0	3	Manitoba	Cormorant	1997	Wolf	115.50	Wolf	0.27	3.72	36	21
49	3	15	Manitoba	Cranberry	1997	Wolf	178.71	Wolf	0.50	2.01	36	21
50	0	32	Manitoba	CrossLake	1997	Wolf	116.73	Wolf	0.06	15.80	36	21
51	36	15	Manitoba	DeerShoal	1997	Wolf	104.39	Wolf	2.40	0.42	36	21
52	80	28	Manitoba	DuckMountain	1997	Wolf	37.65	Transition	5.25	0.19	36	21
53	2	9	Manitoba	Easterville	1997	Wolf	75.87	Transition	0.49	2.04	36	21
54	1	4	Manitoba	FlinFlon	1997	Wolf	226.00	Wolf	0.33	3.08	36	21
55	0	8	Manitoba	GodsLake	1997	Wolf	304.55	Wolf	0.02	64.33	36	21
56	2	9	Manitoba	GrandRapids	1997	Wolf	8.64	Transition	0.63	1.58	36	21
57	22	17	Manitoba	Gypsumville	1997	Wolf	25.99	Transition	1.40	0.71	36	21
58	9	9	Manitoba	HoleRiver	1997	Wolf	42.44	Transition	0.28	3.52	36	21
59	0	34	Manitoba	IndianLake	1997	Wolf	410.77	Wolf	0.07	15.13	36	21
60	0	6	Manitoba	IslandLake	1997	Wolf	200.28	Wolf	na	na	36	21
61	0	33	Manitoba	Limestone	1997	Wolf	473.39	Wolf	0.02	52.20	36	21
62	0	0	Manitoba	MooseLake	1997	Wolf	60.21	Transition	1.06	0.95	36	21
63	3	37	Manitoba	NelsonHouse	1997	Wolf	253.62	Wolf	0.05	19.94	36	21
64	0	9	Manitoba	NorwayHouse	1997	Wolf	52.77	Transition	0.11	9.15	36	21
65	0	16	Manitoba	OxfordLake	1997	Wolf	252.68	Wolf	na	na	36	21
66	2	1	Manitoba	Pauingassi	1997	Wolf	111.45	Wolf	0.22	4.50	36	21
67	0	8	Manitoba	Pikwitonei	1997	Wolf	224.26	Wolf	0.03	32.00	36	21
68	1	0	Manitoba	PoplarRiver	1997	Wolf	69.81	Transition	0.23	4.36	36	21
69	23	4	Manitoba	Porcupine	1997	Wolf	58.42	Transition	4.58	0.22	36	21
70	0	33	Manitoba	Pukatawagan	1997	Wolf	309.06	Wolf	0.17	5.83	36	21
71	0	17	Manitoba	Shamattawa	1997	Wolf	488.67	Wolf	0.03	34.00	36	21
72	1	4	Manitoba	Sherridon	1997	Wolf	223.31	Wolf	0.12	8.39	36	21
73	15	9	Manitoba	Skownan	1997	Wolf	49.33	Transition	2.70	0.37	36	21
74	2238	1579	Manitoba	SouthernZone	1997	NoWolf	na	NoWolf	3.92	0.25	36	21
75	0	110	Manitoba	SplitLake	1997	Wolf	367.34	Wolf	0.01	86.00	36	21
76	1	3	Manitoba	ThicketPortage	1997	Wolf	178.82	Wolf	0.11	9.27	36	21
77	10	6	Manitoba	TurtleMountain	1997	NoWolf	166.72	NoWolf	4.98	0.20	36	21
78	0	12	Manitoba	Wabowden	1997	Wolf	132.22	Wolf	0.03	30.17	36	21
79	13	8	Manitoba	Watheren	1997	Wolf	5.60	Transition	3.03	0.33	36	21
80	2	46	Manitoba	Whiteshell	1997	Wolf	74.95	Transition	0.09	10.82	36	21
81	2	1	Manitoba	Bloodvein	1998	Wolf	31.90	Transition	0.31	3.18	34	21
82	13	31	Manitoba	Bonnet	1998	Wolf	51.90	Transition	0.28	3.54	34	21
83	0	2	Manitoba	BreensRiver	1998	Wolf	40.32	Transition	0.58	1.72	34	21
84	0	11	Manitoba	Brochet	1998	Wolf	506.95	Wolf	0.01	199.50	34	21
85	8	16	Manitoba	Bullhead	1998	NoWolf	18.68	NoWolf	0.51	1.95	34	21
86	3	4	Manitoba	Camperduck	1998	Wolf	55.99	Transition	1.46	0.69	34	21
87	0	1	Manitoba	Churchill	1998	Wolf	538.98	Wolf	0.00	517.00	34	21
88	0	8	Manitoba	Cormorant	1998	Wolf	115.50	Wolf	0.27	3.72	34	21
89	6	22	Manitoba	Cranberry	1998	Wolf	178.71	Wolf	0.50	2.01	34	21
90	0	36	Manitoba	CrossLake	1998	Wolf	116.73	Wolf	0.06	15.80	34	21
91	13	6	Manitoba	DeerShoal	1998	Wolf	104.39	Wolf	2.40	0.42	34	21
92	52	13	Manitoba	DuckMountain	1998	Wolf	37.65	Transition	5.25	0.19	34	21
93	7	6	Manitoba	Easterville	1998	Wolf	75.87	Transition	0.49	2.04	34	21
94	1	17	Manitoba	FlinFlon	1998	Wolf	226.00	Wolf	0.33	3.08	34	21
95	0	10	Manitoba	GodsLake	1998	Wolf	304.55	Wolf	0.02	64.33	34	21
96	7	11	Manitoba	GrandRapids	1998	Wolf	8.64	Transition	0.63	1.58	34	21
97	0	0	Manitoba	Gypsumville	1998	Wolf	25.99	Transition	1.40	0.71	34	21
98	0	9	Manitoba	HoleRiver	1998	Wolf	42.44	Transition	0.28	3.52	34	21
99	0	21	Manitoba	IndianLake	1998	Wolf	410.77	Wolf	0.07	15.13	34	21
100	0	5	Manitoba	IslandLake	1998	Wolf	200.28	Wolf	na	na	34	21
101	0	5	Manitoba	Limestone	1998	Wolf	473.39	Wolf	0.02	52.20	34	21
102	2	1	Manitoba	MooseLake	1998	Wolf	60.21	Transition	1.06	0.95	34	21
103	4	29	Manitoba	NelsonHouse	1998	Wolf	253.62	Wolf	0.05	19.94	34	21
104	1	21	Manitoba	NorwayHouse	1998	Wolf	52.77	Transition	0.11	9.15	34	21
105	0	14	Manitoba	OxfordLake	1998	Wolf	252.68	Wolf	na	na	34	21
106	0	1	Manitoba	Pauingassi	1998	Wolf	111.45	Wolf	0.22	4.50	34	21
107	0	13	Manitoba	Pikwitonei	1998	Wolf	224.26	Wolf	0.03	32.00	34	21
108	2	2	Manitoba	PoplarRiver	1998	Wolf	69.81	Transition	0.23	4.36	34	21
109	5	2	Manitoba	Porcupine	1998	Wolf	58.42	Transition	4.58	0.22	34	21
110	0	46	Manitoba	Pukatawagan	1998	Wolf	309.06	Wolf	0.17	5.83	34	21
111	0	10	Manitoba	Shamattawa	1998	Wolf	488.67	Wolf	0.03	34.00	34	21
112	0	5	Manitoba	Sherridon	1998	Wolf	223.31	Wolf	0.12	8.39	34	21
113	16	13	Manitoba	Skownan	1998	Wolf	49.33	Transition	2.70	0.37	34	21
114	1514	829	Manitoba	SouthernZone	1998	NoWolf	na	NoWolf	3.92	0.25	34	21
115	0	78	Manitoba	SplitLake	1998	Wolf	367.34	Wolf	0.01	86.00	34	21
116	5	21	Manitoba	ThicketPortage	1998	Wolf	178.82	Wolf	0.11	9.27	34	21
117	4	0	Manitoba	TurtleMountain	1998	NoWolf	166.72	NoWolf	4.98	0.20	34	21
118	0	19	Manitoba	Wabowden	1998	Wolf	132.22	Wolf	0.03	30.17	34	21
119	9	6	Manitoba	Watheren	1998	Wolf	5.60	Transition	3.03	0.33	34	21
120	2	40	Manitoba	Whiteshell	1998	Wolf	74.95	Transition	0.09	10.82	34	21
121	0	2	Manitoba	Bloodvein	1999	Wolf	31.90	Transition	0.31	3.18	33	20
122	1	28	Manitoba	Bonnet	1999	Wolf	51.90	Transition	0.28	3.54	33	20
123	0	3	Manitoba	BreensRiver	1999	Wolf	40.32	Transition	0.58	1.72	33	20
124	0	4	Manitoba	Brochet	1999	Wolf	506.95	Wolf	0.01	199.50	33	20
125	7	7	Manitoba	Bullhead	1999	NoWolf	18.68	NoWolf	0.51	1.95	33	20
126	6	2	Manitoba	Camperduck	1999	Wolf	55.99	Transition	1.46	0.69	33	20
127	0	8	Manitoba	Churchill	1999	Wolf	538.98	Wolf	0.00	517.00	33	20
128	0	4	Manitoba	Cormorant	1999	Wolf	115.50	Wolf	0.27	3.72	33	20
129	2	20	Manitoba	Cranberry	1999	Wolf	178.71	Wolf	0.50	2.01	33	20
130	0	23	Manitoba	CrossLake	1999	Wolf	116.73	Wolf	0.06	15.80	33	20
131	17	4	Manitoba	DeerShoal	1999	Wolf	104.39	Wolf	2.40	0.42	33	20
132	31	4	Manitoba	DuckMountain	1999	Wolf	37.65	Transition	5.25	0.19	33	20
133	4	2	Manitoba	Easterville	1999	Wolf	75.87	Transition	0.49	2.04	33	20
134	0	10	Manitoba	FlinFlon	1999	Wolf	226.00	Wolf	0.33	3.08	33	20
135	0	10	Manitoba	GodsLake	1999	Wolf	304.55	Wolf	0.02	64.33	33	20
136	1	6	Manitoba	GrandRapids	1999	Wolf	8.64	Transition	0.63	1.58	33	20
137	0	1	Manitoba	Gypsumville	1999	Wolf	25.99	Transition	1.40	0.71	33	20
138	3	3	Manitoba	HoleRiver	1999	Wolf	42.44	Transition	0.28	3.52	33	20
139	0	11	Manitoba	IndianLake	1999	Wolf	410.77	Wolf	0.07	15.13	33	20
140	0	1	Manitoba	IslandLake	1999	Wolf	200.28	Wolf	na	na	33	20
141	0	10	Manitoba	Limestone	1999	Wolf	473.39	Wolf	0.02	52.20	33	20
142	0	0	Manitoba	MooseLake	1999	Wolf	60.21	Transition	1.06	0.95	33	20
143	0	22	Manitoba	NelsonHouse	1999	Wolf	253.62	Wolf	0.05	19.94	33	20
144	1	21	Manitoba	NorwayHouse	1999	Wolf	52.77	Transition	0.11	9.15	33	20
145	0	11	Manitoba	OxfordLake	1999	Wolf	252.68	Wolf	na	na	33	20
146	0	1	Manitoba	Pauingassi	1999	Wolf	111.45	Wolf	0.22	4.50	33	20
147	1	11	Manitoba	Pikwitonei	1999	Wolf	224.26	Wolf	0.03	32.00	33	20
148	0	4	Manitoba	PoplarRiver	1999	Wolf	69.81	Transition	0.23	4.36	33	20
149	4	2	Manitoba	Porcupine	1999	Wolf	58.42	Transition	4.58	0.22	33	20
150	0	31	Manitoba	Pukatawagan	1999	Wolf	309.06	Wolf	0.17	5.83	33	20
151	0	16	Manitoba	Shamattawa	1999	Wolf	488.67	Wolf	0.03	34.00	33	20
152	0	14	Manitoba	Sherridon	1999	Wolf	223.31	Wolf	0.12	8.39	33	20
153	11	3	Manitoba	Skownan	1999	Wolf	49.33	Transition	2.70	0.37	33	20
154	1487	624	Manitoba	SouthernZone	1999	NoWolf	na	NoWolf	3.92	0.25	33	20
155	0	50	Manitoba	SplitLake	1999	Wolf	367.34	Wolf	0.01	86.00	33	20
156	1	8	Manitoba	ThicketPortage	1999	Wolf	178.82	Wolf	0.11	9.27	33	20
157	13	1	Manitoba	TurtleMountain	1999	NoWolf	166.72	NoWolf	4.98	0.20	33	20
158	0	10	Manitoba	Wabowden	1999	Wolf	132.22	Wolf	0.03	30.17	33	20
159	4	3	Manitoba	Watheren	1999	Wolf	5.60	Transition	3.03	0.33	33	20
160	0	27	Manitoba	Whiteshell	1999	Wolf	74.95	Transition	0.09	10.82	33	20
161	1	2	Manitoba	Bloodvein	2000	Wolf	31.90	Transition	0.31	3.18	21	20
162	2	45	Manitoba	Bonnet	2000	Wolf	51.90	Transition	0.28	3.54	21	20
163	4	34	Manitoba	BreensRiver	2000	Wolf	40.32	Transition	0.58	1.72	21	20
164	0	29	Manitoba	Brochet	2000	Wolf	506.95	Wolf	0.01	199.50	21	20
165	5	23	Manitoba	Bullhead	2000	NoWolf	18.68	NoWolf	0.51	1.95	21	20
166	7	7	Manitoba	Camperduck	2000	Wolf	55.99	Transition	1.46	0.69	21	20
167	0	70	Manitoba	Churchill	2000	Wolf	538.98	Wolf	0.00	517.00	21	20
168	2	10	Manitoba	Cormorant	2000	Wolf	115.50	Wolf	0.27	3.72	21	20
169	2	23	Manitoba	Cranberry	2000	Wolf	178.71	Wolf	0.50	2.01	21	20
170	3	53	Manitoba	CrossLake	2000	Wolf	116.73	Wolf	0.06	15.80	21	20
171	29	11	Manitoba	DeerShoal	2000	Wolf	104.39	Wolf	2.40	0.42	21	20
172	58	12	Manitoba	DuckMountain	2000	Wolf	37.65	Transition	5.25	0.19	21	20
173	3	7	Manitoba	Easterville	2000	Wolf	75.87	Transition	0.49	2.04	21	20
174	0	12	Manitoba	FlinFlon	2000	Wolf	226.00	Wolf	0.33	3.08	21	20
175	0	84	Manitoba	GodsLake	2000	Wolf	304.55	Wolf	0.02	64.33	21	20
176	4	32	Manitoba	GrandRapids	2000	Wolf	8.64	Transition	0.63	1.58	21	20
177	9	9	Manitoba	Gypsumville	2000	Wolf	25.99	Transition	1.40	0.71	21	20
178	2	18	Manitoba	HoleRiver	2000	Wolf	42.44	Transition	0.28	3.52	21	20
179	0	22	Manitoba	IndianLake	2000	Wolf	410.77	Wolf	0.07	15.13	21	20
180	0	25	Manitoba	IslandLake	2000	Wolf	200.28	Wolf	na	na	21	20
181	0	34	Manitoba	Limestone	2000	Wolf	473.39	Wolf	0.02	52.20	21	20
182	0	1	Manitoba	MooseLake	2000	Wolf	60.21	Transition	1.06	0.95	21	20
183	1	60	Manitoba	NelsonHouse	2000	Wolf	253.62	Wolf	0.05	19.94	21	20
184	4	75	Manitoba	NorwayHouse	2000	Wolf	52.77	Transition	0.11	9.15	21	20
185	0	36	Manitoba	OxfordLake	2000	Wolf	252.68	Wolf	na	na	21	20
186	0	3	Manitoba	Pauingassi	2000	Wolf	111.45	Wolf	0.22	4.50	21	20
187	0	10	Manitoba	Pikwitonei	2000	Wolf	224.26	Wolf	0.03	32.00	21	20
188	2	10	Manitoba	PoplarRiver	2000	Wolf	69.81	Transition	0.23	4.36	21	20
189	37	15	Manitoba	Porcupine	2000	Wolf	58.42	Transition	4.58	0.22	21	20
190	0	72	Manitoba	Pukatawagan	2000	Wolf	309.06	Wolf	0.17	5.83	21	20
191	0	71	Manitoba	Shamattawa	2000	Wolf	488.67	Wolf	0.03	34.00	21	20
192	0	33	Manitoba	Sherridon	2000	Wolf	223.31	Wolf	0.12	8.39	21	20
193	8	5	Manitoba	Skownan	2000	Wolf	49.33	Transition	2.70	0.37	21	20
194	3511	1108	Manitoba	SouthernZone	2000	NoWolf	na	NoWolf	3.92	0.25	21	20
195	0	120	Manitoba	SplitLake	2000	Wolf	367.34	Wolf	0.01	86.00	21	20
196	0	6	Manitoba	ThicketPortage	2000	Wolf	178.82	Wolf	0.11	9.27	21	20
197	17	2	Manitoba	TurtleMountain	2000	NoWolf	166.72	NoWolf	4.98	0.20	21	20
198	0	24	Manitoba	Wabowden	2000	Wolf	132.22	Wolf	0.03	30.17	21	20
199	1	0	Manitoba	Watheren	2000	Wolf	5.60	Transition	3.03	0.33	21	20
200	1	33	Manitoba	Whiteshell	2000	Wolf	74.95	Transition	0.09	10.82	21	20
201	0	5	Manitoba	Bloodvein	2001	Wolf	31.90	Transition	0.31	3.18	29	26
202	4	26	Manitoba	Bonnet	2001	Wolf	51.90	Transition	0.28	3.54	29	26
203	0	4	Manitoba	BreensRiver	2001	Wolf	40.32	Transition	0.58	1.72	29	26
204	0	33	Manitoba	Brochet	2001	Wolf	506.95	Wolf	0.01	199.50	29	26
205	11	12	Manitoba	Bullhead	2001	NoWolf	18.68	NoWolf	0.51	1.95	29	26
206	40	20	Manitoba	Camperduck	2001	Wolf	55.99	Transition	1.46	0.69	29	26
207	0	25	Manitoba	Churchill	2001	Wolf	538.98	Wolf	0.00	517.00	29	26
208	3	12	Manitoba	Cormorant	2001	Wolf	115.50	Wolf	0.27	3.72	29	26
209	5	13	Manitoba	Cranberry	2001	Wolf	178.71	Wolf	0.50	2.01	29	26
210	0	13	Manitoba	CrossLake	2001	Wolf	116.73	Wolf	0.06	15.80	29	26
211	12	13	Manitoba	DeerShoal	2001	Wolf	104.39	Wolf	2.40	0.42	29	26
212	84	23	Manitoba	DuckMountain	2001	Wolf	37.65	Transition	5.25	0.19	29	26
213	4	0	Manitoba	Easterville	2001	Wolf	75.87	Transition	0.49	2.04	29	26
214	2	4	Manitoba	FlinFlon	2001	Wolf	226.00	Wolf	0.33	3.08	29	26
215	0	3	Manitoba	GodsLake	2001	Wolf	304.55	Wolf	0.02	64.33	29	26
216	5	8	Manitoba	GrandRapids	2001	Wolf	8.64	Transition	0.63	1.58	29	26
217	6	1	Manitoba	Gypsumville	2001	Wolf	25.99	Transition	1.40	0.71	29	26
218	3	11	Manitoba	HoleRiver	2001	Wolf	42.44	Transition	0.28	3.52	29	26
219	0	18	Manitoba	IndianLake	2001	Wolf	410.77	Wolf	0.07	15.13	29	26
220	0	1	Manitoba	IslandLake	2001	Wolf	200.28	Wolf	na	na	29	26
221	0	14	Manitoba	Limestone	2001	Wolf	473.39	Wolf	0.02	52.20	29	26
222	0	0	Manitoba	MooseLake	2001	Wolf	60.21	Transition	1.06	0.95	29	26
223	0	20	Manitoba	NelsonHouse	2001	Wolf	253.62	Wolf	0.05	19.94	29	26
224	2	13	Manitoba	NorwayHouse	2001	Wolf	52.77	Transition	0.11	9.15	29	26
225	0	2	Manitoba	OxfordLake	2001	Wolf	252.68	Wolf	na	na	29	26
226	0	0	Manitoba	Pauingassi	2001	Wolf	111.45	Wolf	0.22	4.50	29	26
227	0	6	Manitoba	Pikwitonei	2001	Wolf	224.26	Wolf	0.03	32.00	29	26
228	0	1	Manitoba	PoplarRiver	2001	Wolf	69.81	Transition	0.23	4.36	29	26
229	33	21	Manitoba	Porcupine	2001	Wolf	58.42	Transition	4.58	0.22	29	26
230	7	47	Manitoba	Pukatawagan	2001	Wolf	309.06	Wolf	0.17	5.83	29	26
231	0	16	Manitoba	Shamattawa	2001	Wolf	488.67	Wolf	0.03	34.00	29	26
232	3	9	Manitoba	Sherridon	2001	Wolf	223.31	Wolf	0.12	8.39	29	26
233	11	6	Manitoba	Skownan	2001	Wolf	49.33	Transition	2.70	0.37	29	26
234	4188	1192	Manitoba	SouthernZone	2001	NoWolf	na	NoWolf	3.92	0.25	29	26
235	4	48	Manitoba	SplitLake	2001	Wolf	367.34	Wolf	0.01	86.00	29	26
236	0	7	Manitoba	ThicketPortage	2001	Wolf	178.82	Wolf	0.11	9.27	29	26
237	45	13	Manitoba	TurtleMountain	2001	NoWolf	166.72	NoWolf	4.98	0.20	29	26
238	0	16	Manitoba	Wabowden	2001	Wolf	132.22	Wolf	0.03	30.17	29	26
239	8	2	Manitoba	Watheren	2001	Wolf	5.60	Transition	3.03	0.33	29	26
240	2	20	Manitoba	Whiteshell	2001	Wolf	74.95	Transition	0.09	10.82	29	26
241	0	0	Manitoba	Bloodvein	2002	Wolf	31.90	Transition	0.31	3.18	57	42
242	5	21	Manitoba	Bonnet	2002	Wolf	51.90	Transition	0.28	3.54	57	42
243	0	4	Manitoba	BreensRiver	2002	Wolf	40.32	Transition	0.58	1.72	57	42
244	0	26	Manitoba	Brochet	2002	Wolf	506.95	Wolf	0.01	199.50	57	42
245	6	33	Manitoba	Bullhead	2002	NoWolf	18.68	NoWolf	0.51	1.95	57	42
246	31	16	Manitoba	Camperduck	2002	Wolf	55.99	Transition	1.46	0.69	57	42
247	0	49	Manitoba	Churchill	2002	Wolf	538.98	Wolf	0.00	517.00	57	42
248	2	6	Manitoba	Cormorant	2002	Wolf	115.50	Wolf	0.27	3.72	57	42
249	15	16	Manitoba	Cranberry	2002	Wolf	178.71	Wolf	0.50	2.01	57	42
250	4	32	Manitoba	CrossLake	2002	Wolf	116.73	Wolf	0.06	15.80	57	42
251	20	15	Manitoba	DeerShoal	2002	Wolf	104.39	Wolf	2.40	0.42	57	42
252	122	22	Manitoba	DuckMountain	2002	Wolf	37.65	Transition	5.25	0.19	57	42
253	8	6	Manitoba	Easterville	2002	Wolf	75.87	Transition	0.49	2.04	57	42
254	8	30	Manitoba	FlinFlon	2002	Wolf	226.00	Wolf	0.33	3.08	57	42
255	0	7	Manitoba	GodsLake	2002	Wolf	304.55	Wolf	0.02	64.33	57	42
256	7	20	Manitoba	GrandRapids	2002	Wolf	8.64	Transition	0.63	1.58	57	42
257	1	1	Manitoba	Gypsumville	2002	Wolf	25.99	Transition	1.40	0.71	57	42
258	1	9	Manitoba	HoleRiver	2002	Wolf	42.44	Transition	0.28	3.52	57	42
259	0	48	Manitoba	IndianLake	2002	Wolf	410.77	Wolf	0.07	15.13	57	42
260	0	3	Manitoba	IslandLake	2002	Wolf	200.28	Wolf	na	na	57	42
261	0	22	Manitoba	Limestone	2002	Wolf	473.39	Wolf	0.02	52.20	57	42
262	0	0	Manitoba	MooseLake	2002	Wolf	60.21	Transition	1.06	0.95	57	42
263	0	18	Manitoba	NelsonHouse	2002	Wolf	253.62	Wolf	0.05	19.94	57	42
264	4	17	Manitoba	NorwayHouse	2002	Wolf	52.77	Transition	0.11	9.15	57	42
265	0	5	Manitoba	OxfordLake	2002	Wolf	252.68	Wolf	na	na	57	42
266	0	0	Manitoba	Pauingassi	2002	Wolf	111.45	Wolf	0.22	4.50	57	42
267	1	17	Manitoba	Pikwitonei	2002	Wolf	224.26	Wolf	0.03	32.00	57	42
268	1	0	Manitoba	PoplarRiver	2002	Wolf	69.81	Transition	0.23	4.36	57	42
269	74	7	Manitoba	Porcupine	2002	Wolf	58.42	Transition	4.58	0.22	57	42
270	21	47	Manitoba	Pukatawagan	2002	Wolf	309.06	Wolf	0.17	5.83	57	42
271	0	11	Manitoba	Shamattawa	2002	Wolf	488.67	Wolf	0.03	34.00	57	42
272	0	23	Manitoba	Sherridon	2002	Wolf	223.31	Wolf	0.12	8.39	57	42
273	18	8	Manitoba	Skownan	2002	Wolf	49.33	Transition	2.70	0.37	57	42
274	7427	1847	Manitoba	SouthernZone	2002	NoWolf	na	NoWolf	3.92	0.25	57	42
275	0	46	Manitoba	SplitLake	2002	Wolf	367.34	Wolf	0.01	86.00	57	42
276	0	4	Manitoba	ThicketPortage	2002	Wolf	178.82	Wolf	0.11	9.27	57	42
277	48	18	Manitoba	TurtleMountain	2002	NoWolf	166.72	NoWolf	4.98	0.20	57	42
278	1	12	Manitoba	Wabowden	2002	Wolf	132.22	Wolf	0.03	30.17	57	42
279	12	3	Manitoba	Watheren	2002	Wolf	5.60	Transition	3.03	0.33	57	42
280	2	33	Manitoba	Whiteshell	2002	Wolf	74.95	Transition	0.09	10.82	57	42
281	1	3	Manitoba	Bloodvein	2003	Wolf	31.90	Transition	0.31	3.18	49	29
282	7	23	Manitoba	Bonnet	2003	Wolf	51.90	Transition	0.28	3.54	49	29
283	0	2	Manitoba	BreensRiver	2003	Wolf	40.32	Transition	0.58	1.72	49	29
284	0	39	Manitoba	Brochet	2003	Wolf	506.95	Wolf	0.01	199.50	49	29
285	15	24	Manitoba	Bullhead	2003	NoWolf	18.68	NoWolf	0.51	1.95	49	29
286	15	12	Manitoba	Camperduck	2003	Wolf	55.99	Transition	1.46	0.69	49	29
287	0	38	Manitoba	Churchill	2003	Wolf	538.98	Wolf	0.00	517.00	49	29
288	4	10	Manitoba	Cormorant	2003	Wolf	115.50	Wolf	0.27	3.72	49	29
289	4	16	Manitoba	Cranberry	2003	Wolf	178.71	Wolf	0.50	2.01	49	29
290	2	35	Manitoba	CrossLake	2003	Wolf	116.73	Wolf	0.06	15.80	49	29
291	22	8	Manitoba	DeerShoal	2003	Wolf	104.39	Wolf	2.40	0.42	49	29
292	105	19	Manitoba	DuckMountain	2003	Wolf	37.65	Transition	5.25	0.19	49	29
293	5	13	Manitoba	Easterville	2003	Wolf	75.87	Transition	0.49	2.04	49	29
294	9	21	Manitoba	FlinFlon	2003	Wolf	226.00	Wolf	0.33	3.08	49	29
